,城市ID,行政归属,城市简称,拼音,lat,lon
56,WWCD1T7KVWJU,河北省/石家庄市/新乐市,河北/石家庄/新乐,Xinle,38.35,114.68
57,WXH13WQT7XKN,河北省/唐山市,河北/唐山/唐山,Tangshan,39.63,118.2
58,WXH12T28ZCYU,河北省/唐山市/路南区,河北/唐山/路南,Lunan,39.62370461,118.1480012
59,WXH13T4TDV3W,河北省/唐山市/路北区,河北/唐山/路北,Lubei,39.62316584,118.1944714
60,WXH4P1N2GBRN,河北省/唐山市/古冶区,河北/唐山/古冶,Guye,39.73218679,118.4413708
61,WXH1DVXJJ7JU,河北省/唐山市/开平区,河北/唐山/开平,Kaiping,39.66975948,118.2556957
62,WX5CP7MZCQWS,河北省/唐山市/丰南区,河北/唐山/丰南,Fengnan,39.57,118.1
63,WXH494BF8D4K,河北省/唐山市/丰润区,河北/唐山/丰润,Fengrun,39.83,118.17
64,WWUNZ5FRFWND,河北省/唐山市/曹妃甸区,河北/唐山/曹妃甸,Caofeidian,39.1772358,118.4358231
65,WXH2SWU0HMTY,河北省/唐山市/滦南县,河北/唐山/滦南,Luannan,39.5,118.68
66,WXH838HQ4U9G,河北省/唐山市/乐亭县,河北/唐山/乐亭,Leting,39.42,118.9
67,WXHHKMJFXY6X,河北省/唐山市/迁西县,河北/唐山/迁西,Qianxi,40.15,118.32
68,WX5DZ5BMGFFD,河北省/唐山市/玉田县,河北/唐山/玉田,Yutian,39.88,117.73
69,WX5US4896NYS,河北省/唐山市/遵化市,河北/唐山/遵化,Zunhua,40.18,117.95
70,WXH7TJ6TQKXN,河北省/唐山市/迁安市,河北/唐山/迁安,Qianan,40.02,118.7
71,WXH6JH68W3P4,河北省/唐山市/滦州市,河北/唐山/滦州,Luanxian,39.75,118.7
72,WXJ51T411GRX,河北省/秦皇岛市,河北/秦皇岛/秦皇岛,Qinhuangdao,39.93,119.6
73,WXJ528H2CCFH,河北省/秦皇岛市/海港区,河北/秦皇岛/海港,Haigang,39.94642799,119.5591372
74,WXJ5MMTY1TV3,河北省/秦皇岛市/山海关区,河北/秦皇岛/山海关,Shanhaiguan,39.9775626,119.7699307
75,WXHFWFFDTF1H,河北省/秦皇岛市/北戴河区,河北/秦皇岛/北戴河,Beidaihe,39.83,119.48
76,WXHFC5UTU6GD,河北省/秦皇岛市/抚宁区,河北/秦皇岛/抚宁,Funing,39.88,119.23
77,WXHTFF8EPCUE,河北省/秦皇岛市/青龙满族自治县,河北/秦皇岛/青龙,Qinglong,40.4,118.95
78,WXH9ZG0VQ22K,河北省/秦皇岛市/昌黎县,河北/秦皇岛/昌黎,Changli,39.7,119.17
79,WXHDBGYMZFB6,河北省/秦皇岛市/卢龙县,河北/秦皇岛/卢龙,Lulong,39.88,118.87
80,WW92M43YCQG0,河北省/邯郸市,河北/邯郸/邯郸,Handan,36.62,114.48
81,WW92J5JNFTQ4,河北省/邯郸市/邯山区,河北/邯郸/邯山,Hanshan,36.58016678,114.4845212
82,WW92MJQVK1XG,河北省/邯郸市/丛台区,河北/邯郸/丛台,Congtai,36.63619433,114.4869911
83,WW92KTBK4BK7,河北省/邯郸市/复兴区,河北/邯郸/复兴,Fuxing,36.63871963,114.4560338
84,WW3PQKGPBU90,河北省/邯郸市/峰峰矿区,河北/邯郸/峰峰,Fengfeng,36.4581112,114.1850617
85,WW3XUMDZ1VU6,河北省/邯郸市/肥乡区,河北/邯郸/肥乡,Feixiang,36.55,114.8
86,WW93JP9G12GN,河北省/邯郸市/永年区,河北/邯郸/永年,Yongnian,36.78,114.48
87,WW3WB1RDPE4S,河北省/邯郸市/临漳县,河北/邯郸/临漳,Linzhang,36.35,114.62
88,WW3X1XGKJSJY,河北省/邯郸市/成安县,河北/邯郸/成安,Chengan,36.43,114.68
89,WW3YKK9DM6PJ,河北省/邯郸市/大名县,河北/邯郸/大名,Daming,36.28,115.15
90,WW8B497GWYP5,河北省/邯郸市/涉县,河北/邯郸/涉县,Shexian,36.57,113.67
91,WW3QF93DN5JH,河北省/邯郸市/磁县,河北/邯郸/磁县,Cixian,36.35,114.37
92,WW9CKYBHP92R,河北省/邯郸市/邱县,河北/邯郸/邱县,Qiuxian,36.82,115.17
93,WW9DJCJF94B4,河北省/邯郸市/鸡泽县,河北/邯郸/鸡泽,Jize,36.92,114.87
94,WW3XX2CRRHGK,河北省/邯郸市/广平县,河北/邯郸/广平,Guangping,36.48,114.93
95,WW3ZZDNFSTX3,河北省/邯郸市/馆陶县,河北/邯郸/馆陶,Guantao,36.53,115.3
96,WW3WZKCQX57K,河北省/邯郸市/魏县,河北/邯郸/魏县,Weixian,36.37,114.93
97,WW99PZ8510UQ,河北省/邯郸市/曲周县,河北/邯郸/曲周,Quzhou,36.78,114.95
98,WW90Y9JBUZGG,河北省/邯郸市/武安市,河北/邯郸/武安,Wuan,36.7,114.2
99,WW96VH3U3KG5,河北省/邢台市,河北/邢台,Xingtai,37.07,114.48
100,WW96VECQ55CT,河北省/邢台市/桥东区,河北/邢台/桥东,Qiaodong,37.06754885,114.5013593
101,WW96UDKYNGT7,河北省/邢台市/桥西区,河北/邢台/桥西,Qiaoxi,37.05930735,114.4623864
102,WW96VH3U3KG5,河北省/邢台市/邢台县,河北/邢台/邢台,Xingtai,37.07,114.48
103,WW9KVTBME3SP,河北省/邢台市/临城县,河北/邢台/临城,Lincheng,37.43,114.5
104,WW9KJYQBJRVN,河北省/邢台市/内丘县,河北/邢台/内丘,Neiqiu,37.3,114.52
105,WW9T3DEMMDTV,河北省/邢台市/柏乡县,河北/邢台/柏乡,Baixiang,37.5,114.68
106,WW9S7XKGWBDS,河北省/邢台市/隆尧县,河北/邢台/隆尧,Longyao,37.35,114.77
107,WW9E1X73VTTV,河北省/邢台市/任县,河北/邢台/任县,Renxian,37.13,114.68
108,WW9D3XEKTEVV,河北省/邢台市/南和县,河北/邢台/南和,Nanhe,37,114.68
109,WW9WP0D0QH6C,河北省/邢台市/宁晋县,河北/邢台/宁晋,Ningjin,37.62,114.92
110,WW9G9XDQ1QBS,河北省/邢台市/巨鹿县,河北/邢台/巨鹿,Julu,37.22,115.03
111,WW9VW84KPEHD,河北省/邢台市/新河县,河北/邢台/新河,Xinhe,37.53,115.25
112,WW9FUK3SMKZ5,河北省/邢台市/广宗县,河北/邢台/广宗,Guangzong,37.07,115.15
113,WW9FCS6K3KBE,河北省/邢台市/平乡县,河北/邢台/平乡,Pingxiang,37.07,115.03
114,WW9FQS42PESS,河北省/邢台市/威县,河北/邢台/威县,Weixian,36.98,115.25
115,WWD6BHKK6KG7,河北省/邢台市/清河县,河北/邢台/清河,Qinghe,37.07,115.67
116,WWD1SK2DC1FH,河北省/邢台市/临西县,河北/邢台/临西,Linxi,36.85,115.5
117,WWDH3X35SBES,河北省/邢台市/南宫市,河北/邢台/南宫,Nangong,37.35,115.38
118,WW93TS26G3UH,河北省/邢台市/沙河市,河北/邢台/沙河,Shahe,36.85,114.5
119,WWFJ5S4DNJ0T,河北省/保定市,河北/保定/保定,Baoding,38.87,115.47
120,WWFJ5JMBF7CD,河北省/保定市/竞秀区,河北/保定/竞秀,Jingxiu,38.87664462,115.4523312
121,WWFJHN3UNPX7,河北省/保定市/莲池区,河北/保定/莲池,Lianchi,38.88271602,115.4909518
122,WWFJ84TKNY22,河北省/保定市/满城区,河北/保定/满城,Mancheng,38.95,115.32
123,WWFHECCGX5C4,河北省/保定市/清苑区,河北/保定/清苑,Qingyuan,38.77,115.48
124,WWFJZXMGBR4N,河北省/保定市/徐水区,河北/保定/徐水,Xushui,39.02,115.65
125,WX421K89XKQ4,河北省/保定市/涞水县,河北/保定/涞水,Laishui,39.4,115.72
126,WWCJN0RMDUFV,河北省/保定市/阜平县,河北/保定/阜平,Fuping,38.85,114.18
127,WWFR6KVHKD8D,河北省/保定市/定兴县,河北/保定/定兴,Dingxing,39.27,115.77
128,WWCU2QJZH5W1,河北省/保定市/唐县,河北/保定/唐县,Tangxian,38.75,114.98
129,WWFK49KRMD97,河北省/保定市/高阳县,河北/保定/高阳,Gaoyang,38.68,115.78
130,WWFQHSVFWXW5,河北省/保定市/容城县,河北/保定/容城,Rongcheng,39.05,115.87
131,WWCXCE7QMETV,河北省/保定市/涞源县,河北/保定/涞源,Laiyuan,39.35,114.68
132,WWCUK2C8M7PH,河北省/保定市/望都县,河北/保定/望都,Wangdu,38.72,115.15
133,WWFMQJ1TKVC7,河北省/保定市/安新县,河北/保定/安新,Anxin,38.92,115.93
134,WWFPU72W35DJ,河北省/保定市/易县,河北/保定/易县,Yixian,39.35,115.5
135,WWCEDN9CZ9YC,河北省/保定市/曲阳县,河北/保定/曲阳,Quyang,38.62,114.7
136,WWF4VV5D0PVV,河北省/保定市/蠡县,河北/保定/蠡县,Lixian,38.48,115.57
137,WWCUGUG15KWH,河北省/保定市/顺平县,河北/保定/顺平,Shunping,38.83,115.13
138,WWF4EXDEQP88,河北省/保定市/博野县,河北/保定/博野,Boye,38.45,115.47
139,WWFTCBJ6YNDT,河北省/保定市/雄县,河北/保定/雄县,Xiongxian,38.98,116.1
140,WX42WGNG8V7T,河北省/保定市/涿州市,河北/保定/涿州,Zhuozhou,39.48,115.97
141,WWCG0HQE70MQ,河北省/保定市/定州市,河北/保定/定州,Dingzhou,38.52,114.97
142,WWF484JKWZ07,河北省/保定市/安国市,河北/保定/安国,Anguo,38.42,115.32
143,WWFRSPZ3UEMH,河北省/保定市/高碑店市,河北/保定/高碑店,Gaobeidian,39.33,115.85
144,WX38NPJ1DP88,河北省/张家口市,河北/张家口/张家口,Zhangjiakou,40.82,114.88
145,WX38N3543Y5E,河北省/张家口市/桥东区,河北/张家口/桥东,Qiaodong,40.78716222,114.8882329
146,WX38JY8ZKHXS,河北省/张家口市/桥西区,河北/张家口/桥西,Qiaoxi,40.81822503,114.8632725
147,WX1YFP0B5K9C,河北省/张家口市/宣化区,河北/张家口/宣化,Xuanhua,40.6,115.05
148,WX1YRM11239W,河北省/张家口市/下花园区,河北/张家口/下花园,Xiahuayuan,40.5013224,115.2809272
149,WX1XFD29CWXF,河北省/张家口市/万全区,河北/张家口/万全,Wanquan,40.75,114.72
150,WX3CP43599T9,河北省/张家口市/崇礼区,河北/张家口/崇礼,Chongli,40.97,115.27
151,WX3D451UPEYZ,河北省/张家口市/张北县,河北/张家口/张北,Zhangbei,41.15,114.7
152,WX3W04X9ZT6W,河北省/张家口市/康保县,河北/张家口/康保,Kangbao,41.85,114.62
153,WX6M0CF1M7HB,河北省/张家口市/沽源县,河北/张家口/沽源,Guyuan,41.67,115.7
154,WX319QQKM7P3,河北省/张家口市/尚义县,河北/张家口/尚义,Shangyi,41.08,113.97
155,WX16XN7R46RV,河北省/张家口市/蔚县,河北/张家口/蔚县,Yuxian,39.85,114.57
156,WX1HNP85CY46,河北省/张家口市/阳原县,河北/张家口/阳原,Yangyuan,40.12,114.17
157,WX1R7EWPGJRZ,河北省/张家口市/怀安县,河北/张家口/怀安,Huaian,40.67,114.42
158,WX4JUDX551G5,河北省/张家口市/怀来县,河北/张家口/怀来,Huailai,40.4,115.52
159,WX1VTYUWS9E4,河北省/张家口市/涿鹿县,河北/张家口/涿鹿,Zhuolu,40.38,115.22
160,WX62GC2B68GG,河北省/张家口市/赤城县,河北/张家口/赤城,Chicheng,40.92,115.83
161,WX7C5D6581T3,河北省/承德市,河北/承德/承德,Chengde,40.97,117.93
162,WX7C5DZJSF0K,河北省/承德市/双桥区,河北/承德/双桥,Shuangqiao,40.97309307,117.9370634
163,WX7C02NE1C46,河北省/承德市/双滦区,河北/承德/双滦,Shuangluan,40.95755206,117.7934284
164,WX5WTM1EG05G,河北省/承德市/鹰手营子矿区,河北/承德/鹰手营,Yingshouying,40.5456883,117.6547817
165,WXHPCJBY2WF7,河北省/承德市/承德县,河北/承德/承德县,Chengdexian,40.77,118.17
166,WX5W40P3Y6R2,河北省/承德市/兴隆县,河北/承德/兴隆,Xinglong,40.43,117.52
167,WX72VGJ4E1J0,河北省/承德市/滦平县,河北/承德/滦平,Luanping,40.93,117.33
168,WX7ENF146Y60,河北省/承德市/隆化县,河北/承德/隆化,Longhua,41.32,117.72
169,WX6FQKJZQH8M,河北省/承德市/丰宁满族自治县,河北/承德/丰宁,Fengning,41.2,116.65
170,WXHQBP480HE1,河北省/承德市/宽城满族自治县,河北/承德/宽城,Kuancheng,40.6,118.48
171,WX7WX3NGVYE8,河北省/承德市/围场满族蒙古族自治县,河北/承德/围场,Weichang,41.93,117.75
172,WXK3HXU4K3VY,河北省/承德市/平泉市,河北/承德/平泉,Pingquan,41,118.68
173,WWG1FS318M6P,河北省/沧州市,河北/沧州/沧州,Cangzhou,38.3,116.83
174,WWG1GNZ4XV45,河北省/沧州市/新华区,河北/沧州/新华,Xinhua,38.31390259,116.8605346
175,WWG1FQN3QJUR,河北省/沧州市/运河区,河北/沧州/运河,Yunhe,38.30957279,116.8264734
176,WWG1GKQ1SMKP,河北省/沧州市/沧县,河北/沧州/沧县,Cangxian,38.3,116.87
177,WWG56R38Z332,河北省/沧州市/青县,河北/沧州/青县,Qingxian,38.58,116.82
178,WWDZ7XYDCZCC,河北省/沧州市/东光县,河北/沧州/东光,Dongguang,37.88,116.53
179,WWG8CM6767JJ,河北省/沧州市/海兴县,河北/沧州/海兴,Haixing,38.13,117.48
180,WWG27QUCRFP5,河北省/沧州市/盐山县,河北/沧州/盐山,Yanshan,38.05,117.22
181,WWF6EGBYFX5Z,河北省/沧州市/肃宁县,河北/沧州/肃宁,Suning,38.43,115.83
182,WWFBRE4KG1FF,河北省/沧州市/南皮县,河北/沧州/南皮,Nanpi,38.03,116.7
183,WWDY02926S39,河北省/沧州市/吴桥县,河北/沧州/吴桥,Wuqiao,37.62,116.38
184,WWF94QKN85GE,河北省/沧州市/献县,河北/沧州/献县,Xianxian,38.18,116.12
185,WWG28DMTGF2E,河北省/沧州市/孟村回族自治县,河北/沧州/孟村,Mengcun,38.07,117.1
186,WWFBSD7TVF7G,河北省/沧州市/泊头市,河北/沧州/泊头,Botou,38.07,116.57
187,WWFS3BV2Q54S,河北省/沧州市/任丘市,河北/沧州/任丘,Renqiu,38.72,116.1
188,WWG6Q359MNQJ,河北省/沧州市/黄骅市,河北/沧州/黄骅,Huanghua,38.37,117.35
189,WWFD97YYUP1R,河北省/沧州市/河间市,河北/沧州/河间,Hejian,38.43,116.08
190,WX4BZD6KEJFY,河北省/廊坊市,河北/廊坊/廊坊,Langfang,39.52,116.7
191,WX4BXR409T9P,河北省/廊坊市/安次区,河北/廊坊/安次,Anci,39.50145936,116.6886034
192,WX4BZDTY2B9D,河北省/廊坊市/广阳区,河北/廊坊/广阳,Guangyang,39.5216448,116.7047081
193,WX48Q6P06KTR,河北省/廊坊市/固安县,河北/廊坊/固安,Guan,39.43,116.3
194,WWFZEJBXWG20,河北省/廊坊市/永清县,河北/廊坊/永清,Yongqing,39.32,116.5
195,WX54NRUV1974,河北省/廊坊市/香河县,河北/廊坊/香河,Xianghe,39.77,117
196,WWFUJVP7GFZH,河北省/廊坊市/大城县,河北/廊坊/大城,Dacheng,38.7,116.63
197,WWFV4K4F5TNT,河北省/廊坊市/文安县,河北/廊坊/文安,Wenan,38.87,116.47
198,WX54VGYJZDF4,河北省/廊坊市/大厂回族自治县,河北/廊坊/大厂,Dachang,39.88,116.98
199,WWFY2TZYH86C,河北省/廊坊市/霸州市,河北/廊坊/霸州,Bazhou,39.1,116.4
200,WX55RYPU2SNV,河北省/廊坊市/三河市,河北/廊坊/三河,Sanhe,39.98,117.07
201,WWDQ8KE95MGB,河北省/衡水市,河北/衡水/衡水,Hengshui,37.73,115.68
202,WWDQ8J7UXJP4,河北省/衡水市/桃城区,河北/衡水/桃城,Taocheng,37.734717,115.6695223
203,WWDJTZ7T05TG,河北省/衡水市/冀州区,河北/衡水/冀州,Jizhou,37.57,115.57
204,WWDM3Q29Z6YJ,河北省/衡水市/枣强县,河北/衡水/枣强,Zaoqiang,37.52,115.72
205,WWDRHUVJRWYX,河北省/衡水市/武邑县,河北/衡水/武邑,Wuyi,37.82,115.88
206,WWF2R5NHCCU4,河北省/衡水市/武强县,河北/衡水/武强,Wuqiang,38.03,115.98
207,WWF33X81BKW8,河北省/衡水市/饶阳县,河北/衡水/饶阳,Raoyang,38.23,115.73
208,WWF1KXX1GHE0,河北省/衡水市/安平县,河北/衡水/安平,Anping,38.23,115.52
209,WWDKQZQG8BES,河北省/衡水市/故城县,河北/衡水/故城,Gucheng,37.35,115.97
210,WWDWMZ14RM7E,河北省/衡水市/景县,河北/衡水/景县,Jingxian,37.7,116.27
211,WWDX7N1BEPTM,河北省/衡水市/阜城县,河北/衡水/阜城,Fucheng,37.87,116.15
212,WWF0M3KFW1SY,河北省/衡水市/深州市,河北/衡水/深州,Shenzhou,38.02,115.55
213,WW8P3NH2TPDT,山西省/太原市,山西/太原/太原,Taiyuan,37.87,112.55
214,WW8N9SDCPJGB,山西省/太原市/小店区,山西/太原/小店区,Xiaodianqu,37.73,112.57
215,WW8P3K9XEM94,山西省/太原市/迎泽区,山西/太原/迎泽,Yingze,37.86295062,112.5571326
216,WW8P96QC7QG2,山西省/太原市/杏花岭区,山西/太原/杏花岭,Xinghualing,37.89346986,112.5643454
217,WQXZZ8CQMBQZ,山西省/太原市/尖草坪区,山西/太原/尖草坪区,Jiancaopingqu,37.93,112.48
218,WW8P25YZ9Y3R,山西省/太原市/万柏林区,山西/太原/万柏林,Wanbailin,37.85883559,112.5093467
219,WQXYX3ENTGXR,山西省/太原市/晋源区,山西/太原/晋源,Jinyuan,37.71445369,112.4714176
220,WQXVUSFGBSPB,山西省/太原市/清徐县,山西/太原/清徐,Qingxu,37.6,112.35
221,WWB0EF7VC635,山西省/太原市/阳曲县,山西/太原/阳曲,Yangqu,38.07,112.67
222,WQZ2XD7TYF35,山西省/太原市/娄烦县,山西/太原/娄烦,Loufan,38.07,111.78
223,WQXZ8RPSN2Q4,山西省/太原市/古交市,山西/太原/古交,Gujiao,37.92,112.17
224,WX0S40QDCME0,山西省/大同市,山西/大同/大同,Datong,40.08,113.3
225,WX0MN2HGDW9C,山西省/大同市/新荣区,山西/大同/新荣,Xinrong,40.25454213,113.1328537
226,WX0ECZRGWVHT,山西省/大同市/平城区,山西/大同/平城,Pingcheng,40.0746337,113.2909681
227,WX07WD7XW8FZ,山西省/大同市/云冈区,山西/大同/云冈,Yungang,40.00388679,113.1422963
228,WX0G9P0ZXUG7,山西省/大同市/云州区,山西/大同/云州,Datongxian,40.03,113.6
229,WX0VSMNHR17W,山西省/大同市/阳高县,山西/大同/阳高,Yanggao,40.37,113.75
230,WX1JGYNX8DJ7,山西省/大同市/天镇县,山西/大同/天镇,Tianzhen,40.42,114.08
231,WX160XBJJ124,山西省/大同市/广灵县,山西/大同/广灵,Guangling,39.77,114.28
232,WX10R658RUTR,山西省/大同市/灵丘县,山西/大同/灵丘,Lingqiu,39.43,114.23
233,WX0CFG5JRBRU,山西省/大同市/浑源县,山西/大同/浑源,Hunyuan,39.7,113.68
234,WX05S9C8UK6Y,山西省/大同市/左云县,山西/大同/左云,Zuoyun,40,112.7
235,WW8Z267HHZ3U,山西省/阳泉市,山西/阳泉,Yangquan,37.85,113.57
236,WW8Z267HHZ3U,山西省/阳泉市/城区,山西/阳泉/阳泉,Yangquan,37.85,113.57
237,WW8Z27W1UTPU,山西省/阳泉市/矿区,山西/阳泉/矿区,Kuangqu,37.85646808,113.5741171
238,WW8ZBG80FZ2F,山西省/阳泉市/郊区,山西/阳泉/郊区,Jiaoqu,37.94419879,113.5877655
239,WW8Z13R8CYSX,山西省/阳泉市/平定县,山西/阳泉/平定,Pingding,37.8,113.62
240,WWB8SKR25D88,山西省/阳泉市/盂县,山西/阳泉/盂县,Yuxian,38.08,113.4
241,WW2MYN52R11E,山西省/长治市,山西/长治/长治,Changzhi,36.2,113.12
242,WW2MYN8DKWC5,山西省/长治市/潞州区,山西/长治/潞州,Luzhou,36.20312085,113.1161155
243,WW2MH7KCBNT6,山西省/长治市/上党区,山西/长治/上党,Shangdang,36.05334472,113.0448604
244,WW2Q8EUEQDSX,山西省/长治市/屯留区,山西/长治/屯留,Tunliu,36.32,112.88
245,WW2W8MSM94YG,山西省/长治市/潞城区,山西/长治/潞城,Lucheng,36.33,113.22
246,WW2RUD06XVT9,山西省/长治市/襄垣县,山西/长治/襄垣,Xiangyuan,36.53,113.05
247,WW2TVNJ0Q947,山西省/长治市/平顺县,山西/长治/平顺,Pingshun,36.2,113.43
248,WW2XSH8GCMPS,山西省/长治市/黎城县,山西/长治/黎城,Licheng,36.5,113.38
249,WW2MRZMWR0JB,山西省/长治市/壶关县,山西/长治/壶关,Huguan,36.12,113.2
250,WW2M2RMQM85B,山西省/长治市/长子县,山西/长治/长子,Zhangzi,36.12,112.87
251,WW81XBWY79DG,山西省/长治市/武乡县,山西/长治/武乡,Wuxiang,36.83,112.85
252,WW81HD1SK2DC,山西省/长治市/沁县,山西/长治/沁县,Qinxian,36.75,112.7
253,WQRZSHS5YTNU,山西省/长治市/沁源县,山西/长治/沁源,Qinyuan,36.5,112.33
254,WW23BS9T8PB1,山西省/晋城市,山西/晋城,Jincheng,35.4895724,112.8755951
255,WW23BS9T8PB1,山西省/晋城市/城区,山西/晋城/晋城,Jincheng,35.4895724,112.8755951
256,WQRFBXQGP6ND,山西省/晋城市/沁水县,山西/晋城/沁水,Qinshui,35.68,112.18
257,WQRCY4VTZZ7E,山西省/晋城市/阳城县,山西/晋城/阳城,Yangcheng,35.48,112.42
258,WW2E9989W73T,山西省/晋城市/陵川县,山西/晋城/陵川,Lingchuan,35.78,113.27
259,WW21ZW863X9U,山西省/晋城市/泽州县,山西/晋城/泽州,Zezhou,35.5,112.83
260,WW279T1Y4EWW,山西省/晋城市/高平市,山西/晋城/高平,Gaoping,35.8,112.92
261,WQZZWRV1BGKH,山西省/朔州市,山西/朔州/朔州,Shuozhou,39.33,112.43
262,WQZZWM9DTY1H,山西省/朔州市/朔城区,山西/朔州/朔城,Shuocheng,39.31778391,112.425404
263,WRP8ZK5QCQ57,山西省/朔州市/平鲁区,山西/朔州/平鲁,Pinglu,39.53,112.12
